name,Rounds played,Cheese gathered,Cheese gathered first,Bootcamp,Mice saved,Mice saved (hard),Mice saved (divine),Cheese gathered as shaman,url
Redscarlet,9154139,3853812,686246,153601,3808163,1616603,909284,185475,https://cheese.formice.com/transformice/tribe/455613
Tabac,4829630,2086088,536483,85419,3322969,1633571,748514,154007,https://cheese.formice.com/transformice/tribe/325917
RED BULL TRANSFORMICE,22124994,7283559,589431,134474,4206280,1351918,793148,223158,https://cheese.formice.com/transformice/tribe/1115413
Made in Detroit,1648830,873029,387660,42684,2097330,1471361,351286,107880,https://cheese.formice.com/transformice/tribe/783190
Anticipating,17501813,5896052,370231,157261,4605669,1472959,776652,174401,https://cheese.formice.com/transformice/tribe/42479
I have no tribe,7536159,3113714,368778,28235,3753359,1502240,521714,154266,https://cheese.formice.com/transformice/tribe/77690
Rat King,8084091,3308018,341796,63168,3694943,1277510,1188013,185244,https://cheese.formice.com/transformice/tribe/999041
Gym For Mice,20487655,6635098,832587,400712,4250153,1694346,866163,229171,https://cheese.formice.com/transformice/tribe/756458
broke boi,829987,422272,197117,20188,1513626,916610,471630,85447,https://cheese.formice.com/transformice/tribe/965716
Losing faith,11169961,3930963,920329,150190,4045796,1699094,1046539,224127,https://cheese.formice.com/transformice/tribe/1095276
M J 1 H O L,21898034,6817167,395178,101847,4160756,1127302,1256032,161365,https://cheese.formice.com/transformice/tribe/1109801
Possibilist,6331210,2880322,346462,145551,3175018,1400967,204293,126133,https://cheese.formice.com/transformice/tribe/5922
Pika,9353754,3260456,684051,137183,3998473,1413530,434263,179233,https://cheese.formice.com/transformice/tribe/40674
We Talk A Lot,14373481,5054623,333221,91559,3962811,1118484,1353972,155320,https://cheese.formice.com/transformice/tribe/1051168
I want you',7510814,2783021,969131,108216,3497685,1660617,1185187,201694,https://cheese.formice.com/transformice/tribe/1141774
The Project X Tribe,15025792,5212130,295348,69588,4007562,1183087,1187075,150173,https://cheese.formice.com/transformice/tribe/670124
Royal Empire,24147162,6689276,360439,31504,4769979,1100392,363492,223567,https://cheese.formice.com/transformice/tribe/767962
