name,Rounds played,Cheese gathered,Cheese gathered first,Bootcamp,Mice saved,Mice saved (hard),Mice saved (divine),Cheese gathered as shaman,url
Maverick Hunter,1407414,657016,92283,6145,1091127,456563,297613,50818,https://cheese.formice.com/transformice/tribe/348985
girls locker room,3127926,1323985,179764,41153,1348573,474717,521605,63254,https://cheese.formice.com/transformice/tribe/1132081
Ignis Fatuus,1973764,1045735,79317,15912,1081870,194584,639767,31142,https://cheese.formice.com/transformice/tribe/711169
Queen's of bootcamps,6280180,2173630,169705,87247,1565799,453780,37366,72685,https://cheese.formice.com/transformice/tribe/547575
941453150,2321525,1117212,37170,14904,1174317,201999,768759,18713,https://cheese.formice.com/transformice/tribe/1045768
ganancia,629220,301640,146814,9885,771756,432256,179742,41706,https://cheese.formice.com/transformice/tribe/1111800
House Events,7993001,2519259,214732,29130,1629902,539489,259239,79430,https://cheese.formice.com/transformice/tribe/1097411
invisivel pelos que miravam,6891229,2288041,458780,107616,1510287,533006,224690,85560,https://cheese.formice.com/transformice/tribe/1069696
$$(SEXYS)vs(PROS)$$,3160973,1204244,194523,46588,1431211,375622,674101,93047,https://cheese.formice.com/transformice/tribe/185143
Feel Free,2576735,1087317,182556,9795,1289538,456184,78465,55869,https://cheese.formice.com/transformice/tribe/41280
Mooves Like Jagger,596362,276891,124438,12364,666041,401868,164726,35031,https://cheese.formice.com/transformice/tribe/718300
Turk Alliance,4056244,1496792,457293,39887,1434193,543969,425484,86287,https://cheese.formice.com/transformice/tribe/1096180
HotShot's,2532024,1070263,173217,8148,1273596,434821,45632,50132,https://cheese.formice.com/transformice/tribe/4639
bootcampalm,5964066,2037699,197761,90103,1547886,476912,5810,72072,https://cheese.formice.com/transformice/tribe/425758
A Beautiful Mess,1740689,808328,151498,13229,1112946,438366,226037,53195,https://cheese.formice.com/transformice/tribe/10801
Kingdom Of Otaku,7433520,2247076,105592,34725,1738371,523595,334378,71315,https://cheese.formice.com/transformice/tribe/639967
Israil Kolordu Komutanligi,3807946,1305817,218069,28564,1542178,534094,545984,75699,https://cheese.formice.com/transformice/tribe/976712
just existing,2798647,1115598,202312,31503,1319622,441716,432188,68303,https://cheese.formice.com/transformice/tribe/1110223
futuro pai do seu filho,4334567,1522990,660512,72286,1410946,623311,548835,83415,https://cheese.formice.com/transformice/tribe/1132316
SectadeLux,1301777,599863,165993,11062,1000997,330504,390735,51366,https://cheese.formice.com/transformice/tribe/666122
sounds gay i'm in,4164772,1574879,94763,20821,1360717,365806,572233,54875,https://cheese.formice.com/transformice/tribe/1097015
Os MiToS TfM,7496459,2304062,188456,29963,1608806,503856,194209,78885,https://cheese.formice.com/transformice/tribe/784320
Se eu prestasse tu nao ia gostar,431978,250983,125891,1821,614559,414855,107018,30247,https://cheese.formice.com/transformice/tribe/867884
Eai 02,1858903,737138,204636,14402,1171752,450831,561114,67281,https://cheese.formice.com/transformice/tribe/974035
bLaCk AnARqui,5080791,1731714,326717,49775,1496831,493236,370908,87745,https://cheese.formice.com/transformice/tribe/1089940
Cirno,2643287,1157252,69048,6387,1198308,317606,566287,39921,https://cheese.formice.com/transformice/tribe/777837
SATAN LOVERS,4444195,1581776,71066,5451,1471574,399811,439061,58616,https://cheese.formice.com/transformice/tribe/1026365
cuida da sua vida,1591730,639966,152119,15945,1066215,603613,289914,57096,https://cheese.formice.com/transformice/tribe/1134968
Old Boys,2587503,1088957,383796,24446,1168142,484502,75464,47408,https://cheese.formice.com/transformice/tribe/411243
C O N S I D E R A D O S,5038118,1706225,314716,35171,1486465,571082,366114,81274,https://cheese.formice.com/transformice/tribe/1111581
the_Millionaires,6897733,2384116,118558,38863,1241608,355351,388266,48326,https://cheese.formice.com/transformice/tribe/1139552
Knights of Swiss,1875216,804386,151968,15913,1126369,206308,40565,38731,https://cheese.formice.com/transformice/tribe/70
SNEY KFC Royal,8634081,2590752,143870,60163,1460051,454975,138326,70023,https://cheese.formice.com/transformice/tribe/840527
Holy Angels,1868085,847708,105279,469,1095830,276599,3679,33732,https://cheese.formice.com/transformice/tribe/23141
Hellcats '',9992145,2576903,124744,10322,1908322,533075,183839,92640,https://cheese.formice.com/transformice/tribe/138047
Mala mia,4575509,1560501,310018,51234,1474777,630384,300483,81758,https://cheese.formice.com/transformice/tribe/1087201
world is anime and k-pop,8561613,2478413,127828,33348,1614424,505929,221907,78843,https://cheese.formice.com/transformice/tribe/976810
Deep Darkness,4883759,1655159,358193,102885,1195367,417336,430461,60822,https://cheese.formice.com/transformice/tribe/1141135
NewYorkCity Yeniden,7644279,2320058,172688,36129,1552771,339505,35040,56446,https://cheese.formice.com/transformice/tribe/628800
Tribo_Top,8722198,2502288,201076,41743,1612415,423515,115287,73005,https://cheese.formice.com/transformice/tribe/897242
s2 Planet of Unicorns s2,9088191,2511247,125512,16494,1707236,468689,308988,82152,https://cheese.formice.com/transformice/tribe/952204
 ,1587267,633090,137269,9122,1088289,507938,434013,38771,https://cheese.formice.com/transformice/tribe/416183
Weakness disgusts me,412722,208044,92485,2038,603431,326388,173681,27178,https://cheese.formice.com/transformice/tribe/1123277
Brigada,2473037,937059,244282,21161,1242995,552584,321888,63126,https://cheese.formice.com/transformice/tribe/726813
BLUETOON,3230220,1451878,184915,88685,1036932,333451,392796,38039,https://cheese.formice.com/transformice/tribe/1106772
born to be yours,2107903,782114,181649,13565,1204712,441084,402718,69634,https://cheese.formice.com/transformice/tribe/1109840
"""Poderoso Deus""",6684341,1959861,182582,24916,1661378,385737,62330,70067,https://cheese.formice.com/transformice/tribe/333733
Let me be like that,990322,666167,23435,14163,733368,227416,410079,8156,https://cheese.formice.com/transformice/tribe/1098146
Kasvet,603201,300176,139153,8290,696948,429506,176229,36416,https://cheese.formice.com/transformice/tribe/1034145
Cheesitos,7321960,2185766,149238,25115,1554605,360658,13056,60438,https://cheese.formice.com/transformice/tribe/564253
One More Star,7513248,2290650,146111,48369,1445572,454030,117948,64617,https://cheese.formice.com/transformice/tribe/1072420
Y E L L O W,2343644,862380,237846,12303,1220981,581512,280336,60992,https://cheese.formice.com/transformice/tribe/663450
Mielikki,2754535,1097419,101992,11390,1210103,539740,35682,44624,https://cheese.formice.com/transformice/tribe/45993
x Destiny x,6696912,2125159,127898,45126,1407361,445818,381162,69659,https://cheese.formice.com/transformice/tribe/1099880
Myth's and legend's of the survivor,8806881,2458631,142417,34419,1564627,335693,155741,72130,https://cheese.formice.com/transformice/tribe/770866
Feathers of the Vastaya,674259,329508,112227,12918,727792,387362,211850,34902,https://cheese.formice.com/transformice/tribe/1134084
there is always a hope,2208902,798198,262089,11979,1192372,520381,378651,68912,https://cheese.formice.com/transformice/tribe/1121521
PROFIT,4649702,1679840,85153,8367,1281968,290603,179573,46157,https://cheese.formice.com/transformice/tribe/667878
feed me with your negativity,1236895,465237,206187,4286,939751,463131,319030,47113,https://cheese.formice.com/transformice/tribe/1140241
meww meww,644849,301268,124749,4857,715396,280300,361570,40976,https://cheese.formice.com/transformice/tribe/1018291
BC4EVER',6297016,1893241,392093,657653,1513411,613551,341307,81949,https://cheese.formice.com/transformice/tribe/996808
The Onions World,3850055,1451896,106504,20276,1248353,398555,338217,53092,https://cheese.formice.com/transformice/tribe/785178
Jedi,2177254,879283,137535,14067,1128280,380872,43836,39415,https://cheese.formice.com/transformice/tribe/925
Mission Imposible,4108173,1424540,253378,38966,1342735,531621,209701,68799,https://cheese.formice.com/transformice/tribe/492501
na terra piranha no mar sereia,6676425,2001064,244324,43329,1505942,432856,154454,72498,https://cheese.formice.com/transformice/tribe/1041886
Molang,2134826,803239,207852,43017,1155619,501040,446944,64482,https://cheese.formice.com/transformice/tribe/1081713
blacksun00,7466812,2261209,67509,19153,1399500,361369,174284,48715,https://cheese.formice.com/transformice/tribe/881059
Pa que miras mi perfil es que te gusto 7w7,7501462,2234656,107013,37289,1332534,424070,283239,59716,https://cheese.formice.com/transformice/tribe/1071481
R A V E,2189577,961002,211879,35944,1046085,492120,172085,52830,https://cheese.formice.com/transformice/tribe/919919
International Alliance,3500619,1361871,31183,38352,1160359,186229,611294,29215,https://cheese.formice.com/transformice/tribe/843597
Bifrost,2957819,1111662,307809,39086,1203454,441759,429461,61046,https://cheese.formice.com/transformice/tribe/1082826
lambisgoias,2458838,939573,176071,9829,1233801,602785,278926,60176,https://cheese.formice.com/transformice/tribe/1133642
Komica,2687168,1078234,68001,1196,1162131,355102,160862,41002,https://cheese.formice.com/transformice/tribe/7392
TKS The Kings Of Survivor,9208323,2713115,171101,42808,1122313,332695,230209,55243,https://cheese.formice.com/transformice/tribe/1030398
ai como queria uma webnamorada,426408,228222,77052,3763,583617,390674,100048,27609,https://cheese.formice.com/transformice/tribe/1138607
Os EnVoCaDoS,3574178,1209445,199506,23922,1354866,582769,279293,72776,https://cheese.formice.com/transformice/tribe/44838
All In One Heart,4865836,1530484,149069,17793,1473482,534082,394872,77773,https://cheese.formice.com/transformice/tribe/733799
Kylpar,6900073,2058297,144556,30576,1462047,420479,136942,71414,https://cheese.formice.com/transformice/tribe/1049261
Food is good,3922559,1397492,90621,10126,1296051,327296,508031,50466,https://cheese.formice.com/transformice/tribe/578987
s v o r,9527604,2735992,165179,46317,1325430,399118,319378,67332,https://cheese.formice.com/transformice/tribe/1139342
SMASH THE PATRIARCHY AND CHILL,6759638,2031048,109203,15820,1449466,378775,98445,62214,https://cheese.formice.com/transformice/tribe/950793
parties with the devil,1860603,831968,111249,8819,1001222,394125,373338,46176,https://cheese.formice.com/transformice/tribe/1131866
[']Snow[']Race['],4634401,1622966,115475,23616,1261972,386614,11048,40471,https://cheese.formice.com/transformice/tribe/161184
Mr Beaan,560680,275560,73950,2962,656230,293353,234199,28175,https://cheese.formice.com/transformice/tribe/887178
Foreign,4012639,1603359,375621,102117,1110975,386465,414229,67970,https://cheese.formice.com/transformice/tribe/30442
Stiff,814431,469412,9362,4907,721276,347774,347575,4022,https://cheese.formice.com/transformice/tribe/804778
ROM POM POM POM ADOTE UM RATO,4601845,1496298,165946,37057,1381695,464498,325885,69963,https://cheese.formice.com/transformice/tribe/1117168
Until Dawn,7473955,2144999,151462,31527,1457905,365636,105714,66800,https://cheese.formice.com/transformice/tribe/854454
Apace,7953525,2312544,920971,138929,988121,388356,240195,53646,https://cheese.formice.com/transformice/tribe/998069
L-TEAM,3137726,1184479,192293,21235,1177910,329816,536928,64366,https://cheese.formice.com/transformice/tribe/916122
haHAA Tribe,4367387,1561338,76566,39861,1220456,346174,384080,50336,https://cheese.formice.com/transformice/tribe/1060631
pq eu jogo rato,1192785,487031,110043,14516,907890,519060,244886,42551,https://cheese.formice.com/transformice/tribe/1140001
Thunder GK,4286933,1596330,209395,45718,1120788,266029,437503,77833,https://cheese.formice.com/transformice/tribe/1131430
Araluen',565659,282200,149759,2172,635625,130024,390385,34302,https://cheese.formice.com/transformice/tribe/1140331
Brief Godz,6408769,2077235,77194,63137,1188206,335653,273482,41981,https://cheese.formice.com/transformice/tribe/1032085
Rennegado,669909,308333,79541,16996,704975,333168,238537,30531,https://cheese.formice.com/transformice/tribe/873099
Bonde das travestchis,3668067,1231018,112662,16534,1339376,540963,408752,68186,https://cheese.formice.com/transformice/tribe/1091974
IhoLandia,6683239,2069591,176595,27000,1276871,353411,187827,59028,https://cheese.formice.com/transformice/tribe/1100912
Boss of deathmatch II,7025724,2093551,285015,75687,1323562,367096,142803,63060,https://cheese.formice.com/transformice/tribe/959114
umop pue dn,699574,384142,133855,9947,673338,424054,52750,29400,https://cheese.formice.com/transformice/tribe/178865
Blessed Do Mice,7799993,2281354,131314,26398,1283504,319164,148189,58577,https://cheese.formice.com/transformice/tribe/1067086
Blame it on rebellion,1259299,522362,173810,15465,896495,421186,343059,51720,https://cheese.formice.com/transformice/tribe/1043345
Shockwave,1519612,688683,141664,2242,916649,355559,4457,40060,https://cheese.formice.com/transformice/tribe/22208
Poisined Apple,3130087,1104366,223332,34727,1214642,462797,361077,63734,https://cheese.formice.com/transformice/tribe/572611
Venus 1996',6226301,1923692,160870,24919,1316676,345524,114237,63694,https://cheese.formice.com/transformice/tribe/951812
Tpunto,489294,254158,74551,13570,599047,373257,109896,26679,https://cheese.formice.com/transformice/tribe/123926
Camisinha serve pra evitar gente como vc,5477903,1675993,220947,32363,1393128,508877,181690,71679,https://cheese.formice.com/transformice/tribe/1022409
Llama Queen,1151550,583356,86214,2277,812268,340374,77882,32482,https://cheese.formice.com/transformice/tribe/55889
The Aquarium,2879521,1081414,77767,3143,1157426,348509,400346,57506,https://cheese.formice.com/transformice/tribe/1089600
mint tea and cookies,3485245,1472486,32226,22801,985746,188341,542368,18979,https://cheese.formice.com/transformice/tribe/980106
Abortion Survivors,5574283,1884313,129093,36836,1306420,426847,363555,54626,https://cheese.formice.com/transformice/tribe/1121713
Fate Apocryha,7080634,2042778,123826,27390,1387569,337549,105487,64471,https://cheese.formice.com/transformice/tribe/1052229
freedown,440547,205112,98983,11045,572514,255053,271736,36263,https://cheese.formice.com/transformice/tribe/466983
Ninguem_liga,767224,373122,88340,2765,716661,337934,126116,41787,https://cheese.formice.com/transformice/tribe/1120003
Jakarta Province,1778966,755273,166836,30794,964816,411685,200285,53205,https://cheese.formice.com/transformice/tribe/814728
Fenix-x,4872336,1590509,234231,37771,1264794,407763,202822,71790,https://cheese.formice.com/transformice/tribe/939509
Mysia Osada,6493635,1998680,65265,35099,1250004,336085,234857,46903,https://cheese.formice.com/transformice/tribe/1136804
NO NO NOT MOUSE,1990157,781512,160809,6151,1033543,422335,127814,38419,https://cheese.formice.com/transformice/tribe/1088721
Sirenele din insula Mako,637398,313907,97750,10542,660168,184483,429651,42872,https://cheese.formice.com/transformice/tribe/1135361
EU ACREDITO EM MIM E NADA PODE ME PARAR,5331301,1712291,228149,38217,1249311,420936,224348,67381,https://cheese.formice.com/transformice/tribe/961837
Mice Who Joined This Tribe,2626690,978624,113986,21831,1124852,320387,162161,54323,https://cheese.formice.com/transformice/tribe/920449
Meraki's Real,6966287,2083941,124267,50056,1253029,335524,107048,60847,https://cheese.formice.com/transformice/tribe/1047375
Tekken Furians,7538551,2091450,114686,28420,1422144,420475,230797,49438,https://cheese.formice.com/transformice/tribe/938815
Menace,3187806,1178411,252507,70905,1116204,435271,241079,59337,https://cheese.formice.com/transformice/tribe/465546
Ominous,882262,442469,123223,3773,731701,312112,171960,35993,https://cheese.formice.com/transformice/tribe/992943
Unstalkable,1674006,754260,108807,20225,912375,318278,85294,39449,https://cheese.formice.com/transformice/tribe/477973
The State of Liberty,1622397,650761,146652,12424,960303,362649,63244,43605,https://cheese.formice.com/transformice/tribe/27870
All About 2,1466715,677637,64873,15900,878144,264480,165356,47377,https://cheese.formice.com/transformice/tribe/975553
Metal for jesus,6149764,1839317,219918,39938,1317472,369654,413802,63377,https://cheese.formice.com/transformice/tribe/1046312
TransforBoot 2,5686263,1782322,139004,71210,1251326,336041,9654,47447,https://cheese.formice.com/transformice/tribe/519500
Soufakedenub Youtuber,6154268,1878464,248209,56529,1249749,397128,141973,62386,https://cheese.formice.com/transformice/tribe/938772
Pescador de Ilusoes,1668839,690979,259599,13924,920446,471262,250075,45370,https://cheese.formice.com/transformice/tribe/622911
Lost Love for Cheese,1107117,539784,95270,3207,788951,333309,310513,37279,https://cheese.formice.com/transformice/tribe/486405
Twoj ryj jest jak podroba z aliexpres,6225457,1885330,55567,21243,1209058,295168,410593,44669,https://cheese.formice.com/transformice/tribe/1134609
u pathetic,3998546,1329649,558388,97964,1137216,515846,323835,62055,https://cheese.formice.com/transformice/tribe/1113250
A P O S E N T E I,1363314,457858,171458,12275,944840,517479,235648,51616,https://cheese.formice.com/transformice/tribe/1107080
O Dragao de Erebor,343826,227849,27534,255,481521,350299,47830,22585,https://cheese.formice.com/transformice/tribe/834393
Faccao Carinhosa,1756580,655231,187019,20174,994420,363423,272902,53705,https://cheese.formice.com/transformice/tribe/1103691
Modest Maus,2202593,853716,94931,19425,1038288,359166,374011,47744,https://cheese.formice.com/transformice/tribe/411021
Tenta Acompanhar,4650293,1570564,414522,51194,1091035,364532,366493,71078,https://cheese.formice.com/transformice/tribe/1128694
Christmas Symbols,1084194,461264,68197,11899,820832,164043,178964,41031,https://cheese.formice.com/transformice/tribe/843415
Sit On A Plank,8053739,2047085,217894,78318,1542814,333441,156630,55832,https://cheese.formice.com/transformice/tribe/691260
she's in love with me,4414380,1420727,188662,44261,1253346,292751,509266,70995,https://cheese.formice.com/transformice/tribe/1090653
NASA CORPORATION,6105714,1910009,299979,74324,1126866,463759,136143,61386,https://cheese.formice.com/transformice/tribe/1068713
walking airplane,490897,229050,96526,2276,582747,331240,140085,25983,https://cheese.formice.com/transformice/tribe/801056
Blood of survivors,5410869,1710400,102554,48174,1217418,417477,268735,58057,https://cheese.formice.com/transformice/tribe/1061484
II Cats and Cats II,6168627,1818887,147089,32146,1304231,379003,106537,61120,https://cheese.formice.com/transformice/tribe/1012013
The new three adorable,2336591,1024161,23039,26697,923647,198026,471907,16640,https://cheese.formice.com/transformice/tribe/1042933
HATEBOYSCLVB,1147726,527919,136406,5425,797620,214045,365419,41986,https://cheese.formice.com/transformice/tribe/1039677
evil heavenly,424131,201527,108436,2295,541448,269548,194547,26332,https://cheese.formice.com/transformice/tribe/950972
Os Fodas Do Miice,8690701,2209320,142471,28957,1464411,219400,177,46285,https://cheese.formice.com/transformice/tribe/402492
Something cute,3967198,1295223,155675,31725,1229767,343452,477991,62603,https://cheese.formice.com/transformice/tribe/990671
Cerulean,2350372,922457,148047,15794,1015054,407072,248018,42719,https://cheese.formice.com/transformice/tribe/899908
'Angels Mice',5929460,1729334,164885,30891,1335403,263168,112,47376,https://cheese.formice.com/transformice/tribe/428066
Powers Of Mice,6115209,1824743,116664,17755,1255244,264950,16388,45526,https://cheese.formice.com/transformice/tribe/631897
Closure',2478248,915083,237296,95888,952995,357907,344006,56485,https://cheese.formice.com/transformice/tribe/1139195
Joanpedrosus e pros,7672508,2047427,127493,27682,1385682,190072,118,45337,https://cheese.formice.com/transformice/tribe/374241
fans of Dumbledore,5275871,1675119,73492,18625,1179270,291867,87206,36285,https://cheese.formice.com/transformice/tribe/254242
Night and Light,6358860,1879162,171805,30711,1222967,342266,104723,56933,https://cheese.formice.com/transformice/tribe/1081850
L.E.F.T,4493819,1497193,45021,16,1149485,59977,285,22106,https://cheese.formice.com/transformice/tribe/11420
Howling of The Dm Remnants,5805618,1787643,223489,76753,1162286,371715,228645,54517,https://cheese.formice.com/transformice/tribe/1086940
Go out tonight,6290975,1863526,142789,39439,1213000,310671,235439,47731,https://cheese.formice.com/transformice/tribe/894785
Impure,1969524,804755,149189,18248,941240,462825,180240,43213,https://cheese.formice.com/transformice/tribe/47553
Wake Up and Live,1840951,708959,168282,11521,960207,322693,315101,52900,https://cheese.formice.com/transformice/tribe/647330
The Most Legendary Rats,6456569,1884121,121701,21713,1235440,312387,73613,56567,https://cheese.formice.com/transformice/tribe/999302
Morally Bankrupt,3259089,1164631,65693,10277,1096107,329552,322410,46967,https://cheese.formice.com/transformice/tribe/1076085
$Os Mitos Imortais$,6989346,1899170,120477,25293,1360680,203849,285,38487,https://cheese.formice.com/transformice/tribe/312921
Best Of Mices,6211837,1887977,111193,39202,1126703,236331,169561,46351,https://cheese.formice.com/transformice/tribe/1113316
Bonde dos Coelhos,5827919,1793539,191408,34603,1131530,357125,121599,56836,https://cheese.formice.com/transformice/tribe/833327
I play tennis,52460,21930,748,865,17025,4491,9163,437,https://cheese.formice.com/transformice/tribe/1125290
deixei o ratin pra ser militar,408647,197914,92211,1581,519046,248447,200188,26360,https://cheese.formice.com/transformice/tribe/1142117
Ubiquitous,1626766,697249,99165,722,874377,276568,1178,29742,https://cheese.formice.com/transformice/tribe/81736
V1k1ngs,7360373,2065732,101455,26600,1145957,308256,169149,52094,https://cheese.formice.com/transformice/tribe/1043788
Uuuuu Beybiiiiii,1751080,651455,126553,4506,956178,262904,339583,49434,https://cheese.formice.com/transformice/tribe/409132
so pelo odio,400772,187847,76142,2889,518508,238289,229536,28446,https://cheese.formice.com/transformice/tribe/1131235
biktim biktim biktim,1081475,420630,108067,10101,804006,500202,120131,35569,https://cheese.formice.com/transformice/tribe/396369
Lonely',787849,328384,111326,14608,698149,304274,266781,34160,https://cheese.formice.com/transformice/tribe/642910
Nightingale Reborn,4716446,1653885,77365,66605,940002,308763,189190,34602,https://cheese.formice.com/transformice/tribe/1080982
The Galaxy's,5964478,1761507,80795,18128,1213534,308452,57117,51321,https://cheese.formice.com/transformice/tribe/635207
Santa's Workshop,2732726,1017750,120260,72999,1019905,383003,361894,41207,https://cheese.formice.com/transformice/tribe/1047501
Vcs pensaram que eu n ia rebolar minha bunda hj ne,2456678,855187,150687,12050,1059214,470325,236035,57278,https://cheese.formice.com/transformice/tribe/966585
Kingdom of Time and Space,2001334,823920,47355,5658,918411,228831,406615,23702,https://cheese.formice.com/transformice/tribe/932794
The Undead Ninjas,5168818,1615021,48866,1176,1149028,100960,0,23078,https://cheese.formice.com/transformice/tribe/46683
African Jews V1,8320372,2244902,100428,55437,1142935,317192,318064,43803,https://cheese.formice.com/transformice/tribe/1102818
When the Moon meets the Sun,1654213,685506,102429,10116,881094,407275,232817,41658,https://cheese.formice.com/transformice/tribe/1065962
"Say ""Hey""",1518830,667623,96843,1214,835391,326499,8944,34504,https://cheese.formice.com/transformice/tribe/275924
T E A S E,2738478,918148,195315,46869,1091505,366256,404373,63107,https://cheese.formice.com/transformice/tribe/732419
Hoboes,2166299,905801,41279,19914,902580,188134,533874,24946,https://cheese.formice.com/transformice/tribe/1034128
quem comanda e nos,5823626,1818044,418460,77093,958223,342134,226078,56959,https://cheese.formice.com/transformice/tribe/1124794
Sleeping Eye,1177501,582483,103317,4439,732804,364523,372,23745,https://cheese.formice.com/transformice/tribe/126287
Chef Michel Dumas,489446,215530,74514,9051,562731,258258,217130,27030,https://cheese.formice.com/transformice/tribe/1141095
int,2489142,934654,68863,13682,997931,423599,60236,31862,https://cheese.formice.com/transformice/tribe/244518
Wydojeni,1953828,794441,19381,8596,913376,219909,587046,18829,https://cheese.formice.com/transformice/tribe/1104595
fanfinifinfon,2497062,800406,212878,35019,1079969,381824,381814,59026,https://cheese.formice.com/transformice/tribe/1137500
Os Mestres Dos Mestres,5706777,1713322,126444,20622,1133926,321912,90203,51493,https://cheese.formice.com/transformice/tribe/1014155
Night Club Professional All-Star,6178476,1824214,119129,43231,1113016,214884,107002,43402,https://cheese.formice.com/transformice/tribe/947038
E L E G A N T,5343794,1767702,221762,92097,1070211,248434,518633,50718,https://cheese.formice.com/transformice/tribe/1140617
groove room,649412,285756,98331,118349,622353,161493,151999,34905,https://cheese.formice.com/transformice/tribe/1032277
meu amigo perguntou se vc quer ficar comigo,403037,204360,57211,3738,501807,255746,162018,26645,https://cheese.formice.com/transformice/tribe/1007232
''''YaKuZa''''',5265271,1541737,150494,24527,1215659,286107,79,36100,https://cheese.formice.com/transformice/tribe/298515
The Butt Squad,1435713,677377,12620,1487,772550,159975,459948,13619,https://cheese.formice.com/transformice/tribe/842468
Supercalifragilisticexpialidocious,1466917,663388,76465,10449,794857,211348,44537,32656,https://cheese.formice.com/transformice/tribe/525484
Baka Kawaii,6418646,1808329,112296,27659,1196726,299515,71589,53267,https://cheese.formice.com/transformice/tribe/858047
Patriarcado,1165407,475239,128548,9864,782323,323951,221267,36609,https://cheese.formice.com/transformice/tribe/1127495
Rise Against,710191,316287,114645,4513,637654,366331,178015,31882,https://cheese.formice.com/transformice/tribe/30106
OFF,743760,282993,132816,9024,640936,378939,165738,31788,https://cheese.formice.com/transformice/tribe/444307
allahsiz,1200474,619471,29637,591,700870,194139,415557,13103,https://cheese.formice.com/transformice/tribe/1141753
Asladp,1523633,577810,146951,2180,869428,357967,124,31542,https://cheese.formice.com/transformice/tribe/103629
O Abas,1545046,632095,69430,20213,849798,377674,214613,46033,https://cheese.formice.com/transformice/tribe/900458
Strange places in my head,3660991,1137270,299881,115240,1126135,316015,500851,68856,https://cheese.formice.com/transformice/tribe/1102706
ta tirando,601055,290364,101777,3453,585645,312427,189566,27486,https://cheese.formice.com/transformice/tribe/1140079
Light of Survival LS',4394510,1429062,99776,32800,1070378,319195,320448,54794,https://cheese.formice.com/transformice/tribe/1098122
text me babe,2070974,749725,227457,31288,944737,358144,310264,56583,https://cheese.formice.com/transformice/tribe/1137456
SicknessMice,2400900,999785,34717,27876,862656,239830,169797,18421,https://cheese.formice.com/transformice/tribe/42671
Depressive Coffee uwu,6514738,1925870,113291,23450,1229756,374374,226228,56112,https://cheese.formice.com/transformice/tribe/1123681
o_0,1103491,522901,82578,2163,721178,164007,85,23288,https://cheese.formice.com/transformice/tribe/13407
god bless you',1426170,569566,234013,18617,809168,364110,278535,41432,https://cheese.formice.com/transformice/tribe/1094721
ANCESTRAIS,4266631,1393986,134676,35098,1061273,322180,195534,61267,https://cheese.formice.com/transformice/tribe/1080296
Just Pro',3105911,1115664,155247,36064,989164,375655,160391,55335,https://cheese.formice.com/transformice/tribe/735686
Topfranciiia oficial,5734317,1697287,111734,33447,1118365,268680,82369,52144,https://cheese.formice.com/transformice/tribe/910907
Realesa em Serie,5878377,1701328,104265,16750,1154746,268143,47785,47897,https://cheese.formice.com/transformice/tribe/710330
Odkrywcy,4479992,1403338,63724,10917,1115593,322668,138678,46008,https://cheese.formice.com/transformice/tribe/589739
The Lost Ones,2974980,1030557,112819,6628,1027908,327822,502,33283,https://cheese.formice.com/transformice/tribe/143786
10'12'17,1146432,531373,125136,6731,723822,252220,319502,42478,https://cheese.formice.com/transformice/tribe/1064974
pega na minha umbrella,1947549,692317,168039,9159,942355,443165,14602,39952,https://cheese.formice.com/transformice/tribe/687502
Vanilheirossss do TFM,4431092,1460064,141636,23412,1014420,291517,104892,50525,https://cheese.formice.com/transformice/tribe/1017586
The Call Of The Wild,1846837,839979,83582,23291,780237,241337,233154,23363,https://cheese.formice.com/transformice/tribe/485838
Banned on sight,200645,107267,49419,1558,359720,211564,85404,18732,https://cheese.formice.com/transformice/tribe/1118431
Momzyt YT,4989188,1542528,132336,32608,1080531,330971,214805,51787,https://cheese.formice.com/transformice/tribe/1029141
M-A-G-I-C,4892343,1530132,115383,24577,1068918,336344,204406,54979,https://cheese.formice.com/transformice/tribe/1110994
BLINDOWNS,506485,234832,75334,4138,548117,408166,15988,22473,https://cheese.formice.com/transformice/tribe/754836
BreakStorm',4708966,1532019,136976,44634,984846,343536,145238,49150,https://cheese.formice.com/transformice/tribe/1110195
Divinity ES,961028,395371,116967,8102,716513,382976,236314,41767,https://cheese.formice.com/transformice/tribe/1087598
Valiente,2349257,783344,174469,21275,1010239,539889,182394,43438,https://cheese.formice.com/transformice/tribe/835449
TEAM STT,5515295,1753016,357139,52854,838447,261047,124884,46063,https://cheese.formice.com/transformice/tribe/1098597
Worrying means you suffer twice,824911,344505,79729,7294,677266,422244,142291,33860,https://cheese.formice.com/transformice/tribe/1004083
camino con el flow intacto,322835,83207,41507,4944,58568,18560,19997,3899,https://cheese.formice.com/transformice/tribe/1141291
mishki zhirushki,1452094,726681,23920,11391,704003,151347,421642,17388,https://cheese.formice.com/transformice/tribe/954704
Sen kaybettin,4225640,1261868,180213,21314,1166180,255620,337921,59489,https://cheese.formice.com/transformice/tribe/929070
All powerful,346366,185059,56647,1009,452814,245224,0,16917,https://cheese.formice.com/transformice/tribe/85989
confessions of a dangerous mind,291052,155148,90081,1980,431298,210578,178809,24397,https://cheese.formice.com/transformice/tribe/1115730
Morska Kraina,4330149,1364555,83976,20737,1168885,318788,214766,50744,https://cheese.formice.com/transformice/tribe/818736
Orange Juice,1150892,546787,70759,11464,705519,180673,403022,38997,https://cheese.formice.com/transformice/tribe/672538
